AARON	Hebreo 	Elevado
ABEL	Hebreo 	Aliento
ABELARDO	Germano 	Noble
ABIGAIL		Hebreo 	Fuente de alegrIa
ABRAHAM 	Hebreo 	Padre superior
ABRIL 	Latino 	Apertura
ADA 	Hebreo 	Belleza
ADALBERTO 	Germano 	Que brilla noblemente
ADAN 	Hebreo 	Hombre de la tierra
ADELA 	Germano 	De noble cuna
ADELAIDA 	Germano 	De noble cuna
ADELINA 	Germano 	De noble cuna
ADELMO 	Germano 	Noble
ADOLFO 	Germano 	Lobo, noble
ADRIAN 	Latino 	Del Mar AdriAtico
ADRIANO 	Latino 	Negro
AGATA 	Griego 	Buena, amable
AGUEDA 	Griego 	Buena, amable
AGUSTIN 	Latino 	Perteneciente a Agosto
AIDA 	Italiano 	Conductora
AINARA 	Vasco 	Desconocido
ALAN 	Germano 	De la tribu de los alanos
ALBANO 	Latino 	Blanco, puro, luminoso
ALBERTO 	Germano 	Que brilla con nobleza
ALCIRA 	Arabe 	Natural de Algeciras
ALDO 	Germano 	Experto
ALEJANDRO 	Griego 	Protector de los hombres
ALEJANDRA 	Griego 	Protectora de los hombres
ALEJO 	Germano 	Arroja el mal
ALFONSO 	Germano 	Estratega
ALFREDO 	Germano 	Consejero
ALICIA 	Germano 	Consuelo
ALINA 	Germano 	Amiga noble
ALMUDENA 	Arabe 	La ciudad
ALONSO 	Germano 	Estratega
ALVARO 	Germano 	Atento
AMADEO 	Latino 	Que ama a Dios
AMALIA 	Germano 	Laboriosa
AMANCIO 	Latino 	Amante
AMANDA 	Latino 	Merecedora de amor
AMARANTO 	Griego 	Flor eterna
AMAYA 	Vasco 	Principio del fin
AMOS 	Hebreo 	Carga
AMBROSIO 	Griego 	Inmortal, divino
AMELIA 	Germano 	Afanosa, enErgica
AMIRA 	Arabe 	La princesa
AMPARO 	Latino 	Protectora
ANA 	Hebreo 	Graciosa
ANACLETO 	Griego 	Que invoca auxilio
ANASTASIA 	Griego 	ResurrecciOn
ANDER 	Vasco 	Del griego andros
ANDRES 	Griego 	Viril
ANGEL/A 	Griego 	Mensajer0
ANGELICA 	Griego 	Mensajera
ANGELES 	Griego 	Buena, pura
ANIBAL 	Fenicio 	Gracia de Baal
ANICETO 	Griego 	Invicto
ANGUSTIAS 	Latino 	Angosto, difIcil
ANSELMO 	Germano 	Guerrero del Señor
ANTONIO 	Latino 	Digno de alabanza
ANTONIA 	Latino 	Digno de alabanza
ANTONIETA 	Latino 	Flor llena de gracia
APOLO 	Griego 	Dios del sol
AQUILES 	Griego 	Consuelo en el dolor
AQUILINO 	Latino 	Como el Aguila
ARACELI 	Latino 	Altar del cielo
ARCHIBALDO 	Germano 	Muy valiente
ARIADNA 	Griego 	De dulce canto
ARIEL 	Hebreo 	LeOn de Dios
ARISTIDES 	Griego 	Hijo del mejor
ARMANDO 	Germano 	Conductor de huestes
ARNOLDO 	Germano 	Fuerte como un Aguila
ARTURO 	Celta 	Alto, noble
ASUNCION 	Latino 	ElevaciOn
ATANASIO 	Griego 	Inmortal
AUGUSTO 	Latino 	Imperial
AURELIO 	Latino 	Dorado
AURELIA 	Latino 	Dorado
AURORA 	Latino 	Amanecer
AUXILIADORA 	Latino 	Que ayuda en situaciones difIciles
AXEL 	Germano 	Recompensa del cielo
AZUZENA 	Arabe 	Lirio
BALDOMERO 	Germano 	Audaz, insigne
BALTASAR 	Caldeo 	Dueño del tesoro
BARACK 	Africano 	Beato, bendito
BARBARA 	Griego 	Extranjera
BARTOLOME 	Hebreo 	Anciano
BASILIO 	Griego 	Majestuosamente
BAUTISTA 	Griego 	Bautizador
BEATRIZ 	Latino 	Que hace feliz
BELEN 	Hebreo 	Casa del pan
BELINDA 	Latino 	Graciosa
BELTRAN 	AlemAn 	Audaz
BENIGNO 	Latino 	Bueno
BENITO 	Latino 	Bendito
BENJAMIN 	Hebreo 	Hijo favorito
BERENICE 	Griego 	Ella da la victoria
BERNABE 	Hebreo 	Hijo de la profecIa
BERNARDINO 	Germano 	Oso fuerte
BERNARDINA 	Germano 	Osa fuerte
BERNARDO 	Germano 	Audaz como un oso
BERTA 	Germano 	Brillante
BIANCA 	Germano 	Blanca
BIBIANA 	Latino 	Vital
BLANCA 	Germano 	Pura, brillante
BLAS 	Griego 	Tartamudo
BRENDA 	AnglosajOn 	Cuervo
BONIFACIO 	Latino 	Bienhechor
BORIS 	Ruso 	Pelea
BRIGIDA 	Celta 	fuerza
BRUNILDA 	Germano 	Doncella oscura de la batalla
BRUNO 	Germano 	Oscuro
CALIXTO 	Griego 	De gran belleza
CAMELIA 	Latino 	Taza
CAMILA 	Latino 	La que espera el sacrificio
CANDIDO 	Latino 	Blanco
CARIDAD 	Latino 	Amor
CARINA 	Griego 	Puro, inocente
CARLOS 	Germano 	Fuerte, viril
CARLA 	Germano 	Fuerte
CARMELO 	Hebreo 	Viña
CARMEN 	Latino 	Verso, cantar
CAROLA 	Germano 	Fuerte
CAROLINA 	Germano 	Realtiva a lo viril
CASILDA 	Arabe 	Cantarina
CASIMIRO 	Eslavo 	Mira por la paz
CATALINA 	Griego 	Pura
CAYETANO 	Latino 	Natural de Gaeta
CECILIA 	Latino 	Justa
CELESTINA 	Latino 	Celestial
CELIA 	Latino 	Abreviatura de Celestina
CELINA 	Latino 	Abreviatura de Celestina
CRISANTO 	Griego 	Flor de oro
CRISTIAN 	Griego 	Hombre de Cristo
CRISTINA 	Latino 	La que sigue a Cristo
CELSO 	Latino 	Excelso
CESAR 	Latino 	Adorno del cabello
CESAREO 	Latino 	Nacido por cesArea
CINTIA 	Griego 	Del lugar de Kinthos
CIPRIANO 	Latino 	Delgado, transparente
CIRILO 	Griego 	Señorial
CIRO 	Persa 	El sol
CLARA 	Latino 	Brillante, ilustrada
CLAUDIO 	Latino 	Cojo
CLAUDIA 	Latino 	Coja
CLEMENTE 	Latino 	Misericordioso, suave
CLEOPATRA 	Griego 	Gloria de su tierra
CLOTILDE 	Germano 	Famosa en la batalla
CONCEPCION 	Latino 	Que concibe
CONRADO 	Germano 	Audaz,consejero, sabio
CONSTANCIO 	Latino 	Firme, fidedigno
CONSTANTINO 	Latino 	Firme
CONSUELO 	Latino 	Advertencia
CORA 	Griego 	Doncella
CORDELIA 	Celta 	Joya del mar
CORNELIO 	Latino 	Coronado
COSME 	Griego 	Adornado
CRISTOBAL 	Griego 	Que llevo a Cristo
CRISOSTOMO 	Griego 	Boca de oro
CRUZ 	Latino 	Cruz
DAGOBERTO 	Germano 	El que lleva la espada
DANA 	Hebreo 	Justicia
DANIEL 	Hebreo 	Dios es juez
DARIO 	Persa 	Preservador
DAVID 	Hebreo 	Amado
DEBORA 	Hebreo 	Abeja, industriosa
DELIA 	Griego 	Casta
DELMIRO 	Germano 	De nobleza insigne
DEMETRIO 	Griego 	Sagrado para la tierra
DIANA 	Latino 	Diosa de la luna
DIEGO 	Hebreo 	Suplantador
DINA 	Hebreo 	Vengada
DIONISIO 	Griego 	Que pertenece a Dionisios
DOLORES 	Latino 	Pesares
DOMINGO 	Latino 	Hijo del Señor
DOMINICO 	Latino 	Hijo del Señor
DONATO 	Latino 	Regalo de Dios
DORA 	Griego 	Regalo de Dios
DULCINEA 	Latino 	Dulce
EDGARDO 	Germano 	Justo, protector
EDITH 	Germano 	Rico don
EDMUNDO 	Germano 	Paz bendita
EDUARDO 	Germano 	GuardiAn de las mercancIas
EFRAIN 	Hebreo 	FructIfero
EFREN 	Hebreo 	FructIfero
ELENA 	Griego 	Luz
ELEONOR 	Griego 	Luz
ELIAS 	Hebreo 	El Señor es Dios
ELISA 	Hebreo 	Dios del juramento
ELISABETH 	Hebreo 	Consagrada a Dios
ELOISA 	Germano 	Combatiente gloriosa
ELOY 	FrancEs 	Elegido
ELSA 	Germano 	Regocijo
ELVIRA 	Latino 	Noble, bravIa
EMILIA 	Griego 	Graciosa
EMILIO 	Griego 	Gracioso
EMA 	Griego 	Que tiene gracia
EMANUEL 	Hebreo 	Dios con nosotros
EMILIO 	Griego 	Amable
ENCARNACION 	Latino 	Hacerse carne
ENGRACIA 	Latino 	Favorecida por Dios
ENRIQUE 	Germano 	Poderoso de su linaje
ERASMO 	Griego 	Que merece amor
ERICO 	Germano 	Heroico
ERIC 	Germano 	Heroico
ERICA 	Germano 	Heroico
ERNESTO 	Germano 	Serio, celoso
ESMERALDA 	Latino 	La muy admirada
ESPERANZA 	Latino 	Deseo
ESTEBAN 	Griego 	Merecidamente coronado
ESTEFANIA 	Griego 	Merecidamente coronada
ESTELA 	Latino 	Estrella
ESTER 	Persa 	Estrella buena fortuna
ETEL 	Germano 	Noble
EUCLIDES 	Griego 	De buena reputaciOn
EUDOSIA 	Griego 	De la que bien se piensa
EUDOXIO 	Griego 	Del que bien se piensa
EUFEMIO 	Griego 	De buena palabra
EUFEMIA 	Griego 	De buena palabra
